region,year,real_gdp,employment,average_hours_worked,total_hours,population,output_per_employed_person,output_per_hour_worked,per_capita_income
Africa,1950,14776.333333333334,2363.6060606060605,NA,NA,6281.575757575758,9155,NA,2910.181818181818
Africa,1951,15580.121212121212,2405.151515151515,NA,NA,6415.545454545455,9497.272727272728,NA,3006.757575757576
Africa,1952,16251.424242424242,2448.3030303030305,NA,NA,6555.515151515152,9757,NA,3066.5151515151515
Africa,1953,16816.272727272728,2495.5454545454545,NA,NA,6699.121212121212,9925,NA,3108.242424242424
Africa,1954,17582.575757575756,2542.2727272727275,NA,NA,6849.393939393939,10129.060606060606,NA,3154.242424242424
Africa,1955,18313.454545454544,2589.848484848485,NA,NA,7008.818181818182,10655.39393939394,NA,3290.5454545454545
Africa,1956,19197.060606060608,2638.2727272727275,NA,NA,7173.30303030303,11337.09090909091,NA,3456.878787878788
Africa,1957,20061.727272727272,2688.848484848485,NA,NA,7342.575757575758,11611.878787878788,NA,3522
Africa,1958,20603.878787878788,2741.121212121212,NA,NA,7517.757575757576,11939.030303030304,NA,3590.090909090909
Africa,1959,21869.545454545456,2793.060606060606,NA,NA,7699.030303030303,12518.424242424242,NA,3717.6363636363635
Africa,1960,23036.545454545456,2850.3939393939395,NA,NA,7887.515151515152,13540.060606060606,NA,3965.4545454545455
Africa,1961,23397.030303030304,2871.090909090909,NA,NA,8074.212121212121,14037.333333333334,NA,4084.3030303030305
Africa,1962,24486.666666666668,2947.121212121212,NA,NA,8264.939393939394,15077.060606060606,NA,4364.939393939394
Africa,1963,26859.878787878788,3025.4545454545455,NA,NA,8476.636363636364,17066.757575757576,NA,4846.939393939394
Africa,1964,29278.333333333332,3089.181818181818,NA,NA,8694.242424242424,19671.939393939392,NA,5498.212121212121
Africa,1965,31441.939393939392,3163.787878787879,NA,NA,8919.727272727272,21954.727272727272,NA,6045.939393939394
Africa,1966,32767.696969696968,3205.7272727272725,NA,NA,9153.212121212122,23536.272727272728,NA,6414.636363636364
Africa,1967,33864.51515151515,3234.969696969697,NA,NA,9396.757575757576,24635.21212121212,NA,6655.454545454545
Africa,1968,37063.121212121216,3313.212121212121,NA,NA,9646.848484848484,28648.575757575756,NA,7599.333333333333
Africa,1969,40513.393939393936,3403.5454545454545,NA,NA,9903.545454545454,30528.363636363636,NA,8031.787878787879
Africa,1970,43813.57575757576,3500.787878787879,NA,NA,10150.666666666666,31319.757575757576,NA,8221.545454545454
Africa,1971,44870.63636363636,3577.969696969697,NA,NA,10419.424242424242,29839.909090909092,NA,7901.212121212121
Africa,1972,45512.57575757576,3644.242424242424,NA,NA,10696.545454545454,28055.60606060606,NA,7442.515151515152
Africa,1973,47074.63636363636,3749.4242424242425,NA,NA,10984.969696969696,27737.242424242424,NA,7365.060606060606
Africa,1974,48386.454545454544,3837.242424242424,NA,NA,11277.666666666666,26607.969696969696,NA,7103.606060606061
Africa,1975,49161.121212121216,3953.121212121212,NA,NA,11571.454545454546,26728.121212121212,NA,7042.757575757576
Africa,1976,53395.69696969697,4081.3636363636365,NA,NA,11888.787878787878,30577.484848484848,NA,7972.151515151515
Africa,1977,55624.606060606064,4174.545454545455,NA,NA,12223.121212121212,30321.333333333332,NA,7831.242424242424
Africa,1978,57154.333333333336,4278.939393939394,NA,NA,12562.424242424242,29090.909090909092,NA,7570.818181818182
Africa,1979,60640.93939393939,4371,NA,NA,12907.212121212122,30398.696969696968,NA,7884.272727272727
Africa,1980,62889.969696969696,4570.090909090909,NA,NA,13264.90909090909,29936.242424242424,NA,7806.060606060606
Africa,1981,61845.63636363636,4645.060606060606,NA,NA,13674.575757575758,26907.909090909092,NA,7038.818181818182
Africa,1982,63085.393939393936,4794.151515151515,NA,NA,14098.363636363636,26016.151515151516,NA,6811.30303030303
Africa,1983,63556.666666666664,4885.333333333333,NA,NA,14532.212121212122,25440.60606060606,NA,6626.969696969697
Africa,1984,64707.93939393939,4965.363636363636,NA,NA,14949.242424242424,24419.636363636364,NA,6341.121212121212
Africa,1985,65958.48484848485,5088.969696969697,NA,NA,15365.181818181818,23442.303030303032,NA,6101.969696969697
Africa,1986,66714.48484848485,5230.818181818182,NA,NA,15792.515151515152,22370.303030303032,NA,5855.393939393939
Africa,1987,67615.57575757576,5361.545454545455,NA,NA,16224.030303030304,21522.121212121212,NA,5656.060606060606
Africa,1988,69778.24242424243,5546.363636363636,NA,NA,16666.242424242424,21393.18181818182,NA,5668.30303030303
Africa,1989,71839.60606060606,5708.151515151515,NA,NA,17124.242424242424,21424.454545454544,NA,5684.636363636364
Africa,1990,73006.87878787878,5856.121212121212,NA,NA,17601.878787878788,21055.81818181818,NA,5602.909090909091
Africa,1991,74509.84848484848,6043.939393939394,NA,NA,18111.78787878788,21872.969696969696,NA,5812.212121212121
Africa,1992,74560.09090909091,6187.151515151515,NA,NA,18602.484848484848,21187.545454545456,NA,5675.454545454545
Africa,1993,75217.87878787878,6307.272727272727,NA,NA,19091.696969696968,20621.060606060608,NA,5548.909090909091
Africa,1994,76953.60606060606,6472.939393939394,NA,NA,19534.545454545456,20430.333333333332,NA,5541.818181818182
Africa,1995,78472.06060606061,6659.515151515152,NA,NA,20010.39393939394,19587.757575757576,NA,5427.363636363636
Africa,1996,82556.42424242424,6826.393939393939,NA,NA,20505.151515151516,19944.636363636364,NA,5582.242424242424
Africa,1997,85364.42424242424,6996.969696969697,NA,NA,21002.78787878788,20098.757575757576,NA,5651.121212121212
Africa,1998,88486.90909090909,7152.151515151515,NA,NA,21505.242424242424,20102.030303030304,NA,5702.090909090909
Africa,1999,91201.15151515152,7332.484848484848,NA,NA,22032.696969696968,19800.21212121212,NA,5660.515151515152
Africa,2000,94641,7512.636363636364,NA,NA,22570.333333333332,19898.636363636364,NA,5711.818181818182
Africa,2001,98133.66666666667,7661.424242424242,2376,29453,23122.090909090908,19838.696969696968,17,5707.636363636364
Africa,2002,102597.63636363637,7878.909090909091,2383,30989,23700.484848484848,19807.121212121212,16,5733.848484848485
Africa,2003,107952.69696969698,8062.272727272727,2319,29503,24299.484848484848,20634.969696969696,18,5935.606060606061
Africa,2004,114031,8343.333333333334,2342,30121,24912.727272727272,20807.757575757576,18,6075.30303030303
Africa,2005,121190.60606060606,8633.939393939394,2007.2424242424242,17022.575757575756,25539.727272727272,21460.454545454544,9.878787878787879,6314.181818181818
Africa,2006,128599.48484848485,8923.545454545454,2006.5454545454545,17587.666666666668,26188.78787878788,21806.575757575756,10.030303030303031,6514.424242424242
Africa,2007,136798.33333333334,9205.727272727272,2005.878787878788,18178.030303030304,26864.909090909092,22530.39393939394,10.484848484848484,6752.151515151515
Africa,2008,141952.9090909091,9517.121212121212,2004.939393939394,18820.18181818182,27561.272727272728,21561.030303030304,9.93939393939394,6574.454545454545
Africa,2009,146293.21212121213,9749.333333333334,2002.6060606060605,19314.303030303032,28282.39393939394,21119.575757575756,9.727272727272727,6473.181818181818
Africa,2010,155051.0303030303,9993.060606060606,1999.2424242424242,19815.39393939394,29018.39393939394,21687.78787878788,10.151515151515152,6668.757575757576
Africa,2011,154876.18181818182,10245.242424242424,1997.5757575757575,20259.272727272728,29762.151515151516,18923,8.909090909090908,6001.969696969697
Africa,2012,163159.63636363635,10521.636363636364,1992.8484848484848,20815.909090909092,30531.727272727272,20727.78787878788,9.787878787878787,6674.636363636364
Africa,2013,167665.45454545456,10862.424242424242,1995.4545454545455,21574,31334.090909090908,19693.969696969696,9.424242424242424,6443.666666666667
Africa,2014,173689.87878787878,11141.818181818182,2010.060606060606,22168,32164.727272727272,19082.78787878788,9,6256.727272727273
Africa,2015,179496.84848484848,11440.60606060606,2003.1515151515152,22661.757575757576,33014.545454545456,19070.333333333332,9.121212121212121,6257.848484848485
Africa,2016,183074.36363636365,11757.363636363636,2007.6969696969697,23271.030303030304,33877.42424242424,19055.121212121212,9,6239.212121212121
Africa,2017,189819.75757575757,12141.848484848484,2005.3939393939395,24034.666666666668,34762,19517.848484848484,9.333333333333334,6403.606060606061
Africa,2018,196360.87878787878,12445.363636363636,2002.878787878788,24665.969696969696,35651.545454545456,19772,9.424242424242424,6505.30303030303
Africa,2019,202897.63636363635,12819.878787878788,2005.3636363636363,25398.636363636364,36544.51515151515,19880.242424242424,9.424242424242424,6582.212121212121
Africa,2020,197041.9696969697,12703.515151515152,1923.2727272727273,24055.636363636364,37452.878787878784,18358.515151515152,9.181818181818182,5894.606060606061
Africa,2021,205570.84848484848,13072.757575757576,2001.878787878788,25835.030303030304,38373.69696969697,18898.272727272728,8.969696969696969,6096.484848484848
Asia,1950,81455.94117647059,41845.055555555555,2440.2,21034.6,102215.11111111111,5318.35294117647,3.8,1938.7058823529412
Asia,1951,89530.76470588235,42942.444444444445,2437.4,21371.6,104117.5,5383.117647058823,3.8,1952.764705882353
Asia,1952,98652.38888888889,44088.77777777778,2435.2,21695.6,106177.38888888889,5324.666666666667,4,1927.2222222222222
Asia,1953,107641.33333333333,45139,2432.8,22010.6,108366.16666666667,5570.555555555556,4,2005.111111111111
Asia,1954,109088.88888888889,46184.333333333336,2440.4,22594.8,110734.61111111111,5726.388888888889,4.4,2048.9444444444443
Asia,1955,116065.38888888889,47172.444444444445,2447,23508.2,113059.16666666667,5903.777777777777,4.4,2106.1666666666665
Asia,1956,123961.27777777778,48333.444444444445,2459,24482.8,115390.33333333333,6040.222222222223,4.4,2150.8888888888887
Asia,1957,129228.11111111111,49667.833333333336,2465.2,25365,118079.72222222222,6176.166666666667,4.6,2190.5555555555557
Asia,1958,135672.77777777778,52344.055555555555,2472.4,25854.8,120839.77777777778,6236,4.8,2210.8333333333335
Asia,1959,141205.88888888888,54208.72222222222,2479,26445.4,123237.38888888889,6394.611111111111,5,2262.3888888888887
Asia,1960,146645.66666666666,53665.88888888889,2484.8,27282.8,124340.44444444444,6693.222222222223,5.2,2356.6666666666665
Asia,1961,143329.38888888888,52950,2487.4,27893.2,124711.38888888889,6876.166666666667,5.4,2438.6111111111113
Asia,1962,150477.61111111112,52514.77777777778,2485,28234.2,126464.77777777778,7203.277777777777,5.6,2568.3888888888887
Asia,1963,162387.94444444444,52708,2486.8,28649.8,129485.11111111111,7587.055555555556,6.4,2713.8888888888887
Asia,1964,179030.27777777778,53351.61111111111,2464.6,28987.6,132444.55555555556,7834.722222222223,6.6,2820.4444444444443
Asia,1965,190542.05555555556,54068.833333333336,2479.2,29612.4,135543.44444444444,8245.111111111111,7.2,2961.8888888888887
Asia,1966,201506.33333333334,55348,2471.8,30310.6,138977.55555555556,8509.555555555555,7.6,3077.1111111111113
Asia,1967,210622.38888888888,57179.61111111111,2476.2,31244.2,142360.22222222222,8779.888888888889,8,3199.0555555555557
Asia,1968,222446,58984.944444444445,2482.2,32132.6,145909.55555555556,9305.666666666666,8.4,3400.9444444444443
Asia,1969,245759.83333333334,60937.38888888889,2487.4,32519.4,149579.11111111112,10058.222222222223,9.2,3678.777777777778
Asia,1970,271201.94444444444,63020,2294.529411764706,136584.0588235294,153422.77777777778,10728.722222222223,4.823529411764706,3938.5
Asia,1971,286571.22222222225,65346.27777777778,2289.8823529411766,141439.41176470587,157385.94444444444,11114.777777777777,5.176470588235294,4134.777777777777
Asia,1972,300068.27777777775,67097.5,2282.529411764706,145100.11764705883,161158.38888888888,11668.333333333334,5.411764705882353,4402.888888888889
Asia,1973,323562.94444444444,68835.38888888889,2285.294117647059,148890.41176470587,164840.22222222222,12380.111111111111,5.764705882352941,4765.833333333333
Asia,1974,328590.3333333333,70846.61111111111,2280.6470588235293,152998.5294117647,168378.55555555556,12465.166666666666,5.764705882352941,4810.888888888889
Asia,1975,344052.3333333333,72871.33333333333,2272.529411764706,157124,171654.88888888888,12574.277777777777,5.882352941176471,4863.777777777777
Asia,1976,355055.6111111111,74889.27777777778,2269.4117647058824,161341.9411764706,174686.33333333334,13285.166666666666,6,5191.611111111111
Asia,1977,376044.8333333333,76712.55555555556,2268.3529411764707,165300,177650.44444444444,13822.555555555555,6.470588235294118,5480.111111111111
Asia,1978,404245.3888888889,78917.77777777778,2274.294117647059,170393.4705882353,180614.22222222222,14261.611111111111,6.764705882352941,5792.888888888889
Asia,1979,426126.27777777775,81007.88888888889,2278.1176470588234,174972.82352941178,183743.11111111112,14908.722222222223,6.9411764705882355,6121.777777777777
Asia,1980,445039.1666666667,83683.44444444444,2281.1176470588234,180898.64705882352,186807.44444444444,15302.611111111111,7.117647058823529,6396
Asia,1981,466178.3888888889,86564.83333333333,2274.6470588235293,186837.9411764706,189804.5,15716.5,7.352941176470588,6683.388888888889
Asia,1982,489700.72222222225,89946.11111111111,2252.235294117647,193632.4705882353,192252.5,15951.333333333334,7.529411764705882,6842.5
Asia,1983,518673.3333333333,92510.44444444444,2273.1176470588234,199622.11764705883,196469.11111111112,16627.222222222223,7.764705882352941,7162.944444444444
Asia,1984,556608.5,94606.88888888889,2274,204246.64705882352,199667.22222222222,17479.833333333332,8.117647058823529,7565.277777777777
Asia,1985,589822.1111111111,96653.94444444444,2257.294117647059,208316.88235294117,202951.16666666666,17860.722222222223,8.294117647058824,7658.666666666667
Asia,1986,623117.1111111111,98826.38888888889,2253.4117647058824,212484.41176470587,206411.27777777778,18645.055555555555,8.647058823529411,7997.944444444444
Asia,1987,667313.5555555555,100797.33333333333,2248.176470588235,216725.64705882352,210107.77777777778,19685.38888888889,9,8596.055555555555
Asia,1988,715279.8333333334,103388.27777777778,2248.4117647058824,222361.41176470587,213848.55555555556,20659.277777777777,9.470588235294118,9144.555555555555
Asia,1989,748686.9444444445,106509.27777777778,2243.294117647059,229035,217541.88888888888,21481.944444444445,10.058823529411764,9579.277777777777
Asia,1990,782462.2222222222,109553.88888888889,2235.529411764706,235594.41176470587,221171,22339,10.411764705882353,10044.611111111111
Asia,1991,823845.8888888889,111766.33333333333,2243.823529411765,240562.11764705883,224522.11111111112,23353.88888888889,10.823529411764707,10536
Asia,1992,871296.6111111111,113588.66666666667,2234.1176470588234,244306.82352941178,227727,24173.222222222223,11.352941176470589,10954.833333333334
Asia,1993,926213.7777777778,115204.27777777778,2231.1111111111113,234530.16666666666,230869.55555555556,25261.555555555555,11.166666666666666,11500.611111111111
Asia,1994,988231.3888888889,116668.22222222222,2229.1666666666665,238267.5,234041.66666666666,26449.944444444445,11.61111111111111,12105.666666666666
Asia,1995,1059354.388888889,117770.05555555556,2232.222222222222,241599.16666666666,237196.94444444444,27491.777777777777,12.166666666666666,12613
Asia,1996,1129286.888888889,119538.72222222222,2230.5,246287.16666666666,240272,28206.555555555555,12.444444444444445,13099.277777777777
